name,location,city,P.O Box,Phone,Mobile,company_page_link,Logo url
,"<span itemprop=""streetAddress"">Next to Four Points by Sheraton, Behind UAE Exchange, Sh Zayed Road</span>","City : Dubai,  UAE ",391073,"Phone : 04-3868444,800MIYABICall","Phone : 04-3868444,800MIYABICall",https://www.yellowpages-uae.com/companywebsite.aspx?type=restaurant&q=www.miyabisushidubai.com?utm_source=Yellowpages-UAE.com%26utm_medium=YPUAEClicks%26utm_campaign=YPUAEWebAd,
,"<span itemprop=""streetAddress"">Near Grand Hotel, Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5538106Call,Phone : 06-5538106Call,,
,"<span itemprop=""streetAddress"">Al Garhoud</span>","City : Dubai,  UAE ",,Phone : 04-2999115Call,Phone : 04-2999115Call,,
,"<span itemprop=""streetAddress"">Hyatt Capital Gate, Al Arabi Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5961440Call,Phone : 02-5961440Call,,
,"<span itemprop=""streetAddress"">Al Barsha</span>","City : Dubai,  UAE ",357347,Phone : 04-4572307Call,Phone : 04-4572307Call,,
,,"City : Dubai,  UAE ",,Phone : 04-4357377Call,Phone : 04-4357377Call,,
,"<span itemprop=""streetAddress"">Saadiyat Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4988008Call,Phone : 02-4988008Call,,
,"<span itemprop=""streetAddress"">Boutique 11, Tiffany Tower, JLT</span>","City : Dubai,  UAE ",644817,Phone : 04-4224116Call,Phone : 04-4224116Call,,
,,"City : Dubai,  UAE ",,Phone : 80074992Call,Phone : 80074992Call,,
,"<span itemprop=""streetAddress"">Dhow Palace Hotel, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3599992Call,Phone : 04-3599992Call,,
,"<span itemprop=""streetAddress"">Sanaiya</span>","City : Al Ain,  UAE ",16935,Phone : 03-7211335Call,Phone : 03-7211335Call,,
,"<span itemprop=""streetAddress"">Next to Al Shook Recording, Al Sham</span>","City : Ras Al Khaimah,  UAE ",6744,Phone : 07-2666693Call,Phone : 07-2666693Call,,
,"<span itemprop=""streetAddress"">US Accommodation, JAFZA</span>","City : Jebel Ali,  UAE ",18009,Phone : 04-8833115Call,Phone : 04-8833115Call,,
,"<span itemprop=""streetAddress"">Al Rafaa Rd, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3557715Call,Phone : 04-3557715Call,,
,"<span itemprop=""streetAddress"">Jumeirah</span>","City : Dubai,  UAE ",56484,Phone : 04-3940950Call,Phone : 04-3940950Call,,
,"<span itemprop=""streetAddress"">Al Butin Plaza, Al Maktoum St, Deira</span>","City : Dubai,  UAE ",63788,Phone : 04-2230555Call,Phone : 04-2230555Call,,
,"<span itemprop=""streetAddress"">Jamal Abdel Naser St</span>","City : Sharjah,  UAE ",82122,Phone : 06-5535702Call,Phone : 06-5535702Call,,
,"<span itemprop=""streetAddress"">1st Floor, M-36, Abu Hamdan Building, Near Car Taxi, Musaffah</span>","City : Abu Dhabi,  UAE ",37471,Phone : 02-5575757Call,Phone : 02-5575757Call,,
,"<span itemprop=""streetAddress"">Sona Bazaar, Park Rd</span>","City : Fujairah,  UAE ",456,Phone : 09-2224592Call,Phone : 09-2224592Call,,
,"<span itemprop=""streetAddress"">TCA</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6452229Call,Phone : 02-6452229Call,,
,"<span itemprop=""streetAddress"">Istiqlal St</span>","City : Abu Dhabi,  UAE ",8090,Phone : 02-6313400Call,Phone : 02-6313400Call,,
,"<span itemprop=""streetAddress"">Dubai Investment Park - 2</span>","City : Dubai,  UAE ",283923,Phone : 04-8071900Call,Phone : 04-8071900Call,,
,"<span itemprop=""streetAddress"">Khalifa</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5526630Call,Phone : 02-5526630Call,,
,"<span itemprop=""streetAddress"">Muroor Rd</span>","City : Abu Dhabi,  UAE ",55204,Phone : 02-4493916Call,Phone : 02-4493916Call,,
